x,y,count,PorR,time_stamp
1552,142,1,False,15:19:52.179832
2252,76,2,True,15:19:53.159231
2252,76,2,False,15:19:53.255191
2198,321,3,True,15:19:56.579147
2198,321,3,False,15:19:56.674871
2136,45,4,True,15:19:57.767195
2559,307,4,False,15:19:58.567231
839,117,5,True,15:19:59.623466
840,117,5,False,15:19:59.719402
598,391,6,True,15:20:07.363425
598,391,6,False,15:20:07.491140
647,1326,7,True,15:20:10.359200
647,1326,7,False,15:20:10.454777
1783,270,8,True,15:20:36.532146
1783,270,8,False,15:20:36.596096
1434,292,9,True,15:21:54.915293
1434,292,9,False,15:21:55.026751
1433,328,10,True,15:21:57.703214
1433,328,10,False,15:21:57.815314
2361,94,11,True,15:22:01.655678
2361,94,11,False,15:22:01.815300
2501,473,12,True,15:22:10.538945
2501,473,12,False,15:22:10.667238
1482,300,13,True,15:22:11.775215
1625,307,13,False,15:22:12.487216
1596,244,14,True,15:22:13.807280
1596,244,14,False,15:22:13.955296
1612,232,15,True,15:22:14.323312
1612,232,15,False,15:22:14.451496
1651,335,16,True,15:22:17.135591
1651,335,16,False,15:22:17.247126
1812,346,17,True,15:22:24.735176
1812,346,17,False,15:22:24.847132
2365,90,18,True,15:22:41.190812
2365,90,18,False,15:22:41.287004
2484,437,19,True,15:22:50.183300
2484,437,19,False,15:22:50.263492
1656,368,20,True,15:22:52.275276
1656,368,20,False,15:22:52.387854
1448,297,21,True,15:23:43.455244
1674,366,21,False,15:23:44.735953
1569,475,22,True,15:23:46.107181
1569,475,22,False,15:23:46.203439
1749,370,23,True,15:23:49.415244
1749,370,23,False,15:23:49.494654
1719,479,24,True,15:23:51.098961
1719,479,24,False,15:23:51.210969
2367,77,25,True,15:23:55.627017
2367,77,25,False,15:23:55.723204
2512,451,26,True,15:24:02.655016
2512,451,26,False,15:24:02.768388
2349,97,27,True,15:24:32.147479
2349,97,27,False,15:24:32.227244
2506,472,28,True,15:24:38.023122
2506,472,28,False,15:24:38.119057
1611,634,29,True,15:24:40.091168
1611,634,29,False,15:24:40.187225
2372,90,30,True,15:24:44.315248
2373,90,30,False,15:24:44.458996
2481,440,31,True,15:26:14.287170
2481,440,31,False,15:26:14.431399
1631,653,32,True,15:26:18.959004
1407,436,32,False,15:26:20.371302
1626,372,33,True,15:26:28.571196
1543,373,33,False,15:26:29.499297
1690,355,34,True,15:26:29.951362
1690,355,34,False,15:26:30.078905
2380,88,35,True,15:26:32.795446
2380,88,35,False,15:26:32.876410
2473,458,36,True,15:26:36.699244
2473,458,36,False,15:26:36.827220
1625,451,37,True,15:26:37.643019
1625,451,37,False,15:26:37.754864
1615,376,38,True,15:26:40.763360
1414,306,38,False,15:26:41.994719
1595,416,39,True,15:26:44.871336
1595,416,39,False,15:26:45.031334
1567,440,40,True,15:26:45.983013
1567,440,40,False,15:26:46.143181
1619,485,41,True,15:26:48.867754
1619,485,41,False,15:26:49.011194
1760,266,42,True,15:26:57.184284
1760,266,42,False,15:26:57.310955
1749,413,43,True,15:27:04.454309
1749,413,43,False,15:27:04.535759
1704,337,44,True,15:27:11.091300
1704,337,44,False,15:27:11.202956
1815,370,45,True,15:27:26.670405
1815,370,45,False,15:27:26.800573
1497,419,46,True,15:27:29.619143
1497,419,46,False,15:27:29.714893
1792,366,47,True,15:27:47.243331
1792,366,47,False,15:27:47.370982
1676,444,48,True,15:28:03.415149
1676,444,48,False,15:28:03.510884
2082,423,49,True,15:28:06.715059
