key,PorR,time_stamp
'l',True,15:20:47.237164
'l',False,15:20:47.329908
'e',True,15:20:47.368773
'e',False,15:20:47.453622
'f',True,15:20:47.500237
'f',False,15:20:47.540313
't',True,15:20:47.688916
't',False,15:20:47.733815
Key.shift,True,15:20:48.349977
'(',True,15:20:48.685476
'(',False,15:20:48.735549
Key.shift,False,15:20:48.840319
'-',True,15:20:59.052991
'-',False,15:20:59.103418
'3',True,15:21:04.086174
'3',False,15:21:04.135490
'0',True,15:21:04.220048
'0',False,15:21:04.280237
Key.left,True,15:21:12.356711
Key.left,False,15:21:12.420116
Key.backspace,True,15:21:12.932454
Key.backspace,False,15:21:12.966778
'6',True,15:21:13.614215
'6',False,15:21:13.644135
Key.right,True,15:21:14.361682
Key.right,False,15:21:14.491481
Key.right,True,15:21:14.842817
Key.right,False,15:21:14.882431
Key.enter,True,15:21:21.708887
Key.enter,False,15:21:21.783690
'f',True,15:21:22.757097
'f',False,15:21:22.832614
'o',True,15:21:23.096595
'o',False,15:21:23.176683
'r',True,15:21:23.217103
'r',False,15:21:23.252007
'w',True,15:21:23.717806
'a',True,15:21:23.814024
'w',False,15:21:23.842946
'a',False,15:21:23.912760
'r',True,15:21:25.353831
'r',False,15:21:25.389298
'd',True,15:21:25.765884
'd',False,15:21:25.830709
Key.shift,True,15:21:25.981036
'(',True,15:21:26.220813
'(',False,15:21:26.271013
Key.shift,False,15:21:26.326043
'6',True,15:21:29.929032
'6',False,15:21:29.952364
'0',True,15:21:30.032430
'0',False,15:21:30.081763
Key.right,True,15:21:31.054017
Key.right,False,15:21:31.103292
Key.up,True,15:21:34.907935
Key.up,False,15:21:34.967478
Key.up,True,15:21:35.108560
Key.up,False,15:21:35.174162
Key.enter,True,15:21:36.447489
Key.enter,False,15:21:36.497361
'f',True,15:21:37.057343
'f',False,15:21:37.103218
'o',True,15:21:37.373675
'o',False,15:21:37.439053
'r',True,15:21:37.500639
'r',False,15:21:37.545560
Key.space,True,15:21:38.711246
Key.space,False,15:21:38.756128
'i',True,15:21:40.158477
'i',False,15:21:40.209341
Key.space,True,15:21:40.669493
Key.space,False,15:21:40.719767
'i',True,15:21:41.455002
'n',True,15:21:41.574283
'i',False,15:21:41.597222
'n',False,15:21:41.631135
Key.space,True,15:21:42.052473
Key.space,False,15:21:42.097729
'r',True,15:21:42.718480
'a',True,15:21:42.785302
'r',False,15:21:42.842150
'a',False,15:21:42.879052
'n',True,15:21:43.019676
'n',False,15:21:43.094475
'g',True,15:21:43.134371
'e',True,15:21:43.227022
'g',False,15:21:43.249959
'e',False,15:21:43.319892
Key.shift,True,15:21:43.647718
Key.shift,True,15:21:44.147322
'(',True,15:21:44.169266
'(',False,15:21:44.193203
Key.shift,False,15:21:44.293325
'3',True,15:21:47.902115
'3',False,15:21:47.948996
Key.right,True,15:21:49.377092
Key.right,False,15:21:49.496986
':',True,15:21:50.321154
':',False,15:21:50.366271
Key.tab,True,15:21:55.966797
Key.tab,False,15:21:56.046334
Key.tab,True,15:21:57.991203
Key.tab,False,15:21:58.076979
Key.ctrl_l,True,15:22:13.096844
'\x03',True,15:22:13.176883
Key.ctrl_l,False,15:22:13.241748
'c',False,15:22:13.266649
Key.enter,True,15:22:15.394658
Key.ctrl_l,True,15:22:15.444399
Key.enter,False,15:22:15.464255
'\x16',True,15:22:15.518191
Key.ctrl_l,False,15:22:15.574255
'v',False,15:22:15.594938
Key.left,True,15:22:18.070055
Key.left,False,15:22:18.115100
Key.right,True,15:22:20.487001
Key.right,False,15:22:20.541528
Key.backspace,True,15:22:21.064985
Key.backspace,False,15:22:21.134962
Key.backspace,True,15:22:21.260128
Key.backspace,False,15:22:21.321270
Key.backspace,True,15:22:21.433338
Key.backspace,False,15:22:21.486196
Key.backspace,True,15:22:21.591949
Key.backspace,False,15:22:21.662285
Key.backspace,True,15:22:21.750323
Key.backspace,False,15:22:21.843829
Key.backspace,True,15:22:21.926127
Key.backspace,False,15:22:21.981977
Key.backspace,True,15:22:22.098645
Key.backspace,False,15:22:22.143261
Key.backspace,True,15:22:22.255300
Key.backspace,False,15:22:22.308818
Key.backspace,True,15:22:22.429861
Key.backspace,False,15:22:22.485317
Key.backspace,True,15:22:22.598942
Key.backspace,False,15:22:22.651802
Key.backspace,True,15:22:22.781421
Key.backspace,False,15:22:22.861502
Key.enter,True,15:22:25.586523
Key.enter,False,15:22:25.626416
'l',True,15:22:26.979933
'l',False,15:22:27.038778
'e',True,15:22:27.123069
'e',False,15:22:27.144009
'f',True,15:22:27.254798
'f',False,15:22:27.294694
't',True,15:22:27.871900
't',False,15:22:27.902819
Key.shift,True,15:22:28.205074
'(',True,15:22:28.353088
'(',False,15:22:28.402586
Key.shift,False,15:22:28.422818
'2',True,15:22:38.181585
'2',False,15:22:38.241426
'4',True,15:22:38.614903
'4',False,15:22:38.665770
'0',True,15:22:38.730023
'0',False,15:22:38.774846
Key.enter,True,15:22:54.337626
Key.enter,False,15:22:54.383878
Key.left,True,15:23:08.534189
Key.left,False,15:23:08.603634
Key.left,True,15:23:08.920788
Key.left,False,15:23:08.986045
Key.left,True,15:23:09.261066
Key.left,False,15:23:09.340653
Key.left,True,15:23:09.748124
Key.left,False,15:23:09.789883
'l',True,15:23:22.502582
'l',False,15:23:22.571404
'e',True,15:23:22.642022
'e',False,15:23:22.687101
'f',True,15:23:22.761919
'f',False,15:23:22.807083
't',True,15:23:23.090176
't',False,15:23:23.121003
Key.shift,True,15:23:23.379774
'(',True,15:23:23.561875
Key.shift,False,15:23:23.589800
'8',False,15:23:23.614253
'1',True,15:23:24.698422
'1',False,15:23:24.723640
'8',True,15:23:25.212099
'8',False,15:23:25.244945
'0',True,15:23:25.344047
'0',False,15:23:25.382964
Key.right,True,15:23:26.032142
Key.right,False,15:23:26.086995
Key.enter,True,15:23:28.399727
Key.enter,False,15:23:28.455762
'f',True,15:23:29.426021
'f',False,15:23:29.475881
'o',True,15:23:29.607991
'o',False,15:23:29.693591
'r',True,15:23:30.004974
'r',False,15:23:30.079413
'w',True,15:23:30.500185
'a',True,15:23:30.585613
'w',False,15:23:30.620925
'a',False,15:23:30.670557
'r',True,15:23:31.524173
'r',False,15:23:31.548064
'd',True,15:23:31.885311
'd',False,15:23:31.921214
Key.shift,True,15:23:32.064027
'(',True,15:23:32.283650
Key.shift,False,15:23:32.303596
'8',False,15:23:32.329527
